epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,78.6373,1.08303,0.65361,1.03281,0.82825,0.78295,0.85483,0.51616,1.29774,0.84222,1.24613,0.0011882,0.0011882,0.0011882
43,80.5405,1.03077,0.63784,1.028,0.83897,0.75294,0.84883,0.51742,1.28352,0.85683,1.23467,0.0011684,0.0011684,0.0011684
44,82.4174,1.07843,0.65431,1.0474,0.81028,0.75059,0.82362,0.50168,1.30698,0.87462,1.24577,0.0011486,0.0011486,0.0011486
45,84.2425,1.01455,0.61396,1.02712,0.81525,0.74758,0.8188,0.50227,1.3298,0.85625,1.26503,0.0011288,0.0011288,0.0011288
46,86.0814,1.01145,0.60898,1.01533,0.80778,0.78607,0.84194,0.51319,1.35036,0.83585,1.2843,0.001109,0.001109,0.001109
47,87.8935,1.02186,0.60704,1.00935,0.83785,0.78417,0.8484,0.52234,1.3195,0.81871,1.25906,0.0010892,0.0010892,0.0010892
48,89.6828,1.01725,0.60769,1.01432,0.81912,0.78118,0.84538,0.51975,1.31922,0.82347,1.25573,0.0010694,0.0010694,0.0010694
49,91.4947,1.03222,0.61284,1.02818,0.8382,0.75571,0.84427,0.52513,1.31125,0.83179,1.2435,0.0010496,0.0010496,0.0010496
50,93.3573,1.04665,0.59951,1.00962,0.86167,0.75176,0.85124,0.52812,1.3124,0.81448,1.24373,0.0010298,0.0010298,0.0010298
51,95.2445,0.99549,0.58263,1.0007,0.80724,0.78235,0.84176,0.52476,1.31292,0.81563,1.24219,0.00101,0.00101,0.00101
52,97.0608,0.9564,0.56081,0.98594,0.79688,0.78471,0.8407,0.52016,1.30704,0.82705,1.24051,0.0009902,0.0009902,0.0009902
53,98.8426,1.00446,0.57342,0.98469,0.80272,0.78505,0.84794,0.5225,1.30034,0.82167,1.24685,0.0009704,0.0009704,0.0009704
54,100.629,0.96902,0.56214,0.99528,0.85886,0.76235,0.85873,0.52703,1.29627,0.81995,1.24519,0.0009506,0.0009506,0.0009506
55,102.418,1.01499,0.58565,1.01304,0.83076,0.78,0.85517,0.52614,1.31017,0.79371,1.26469,0.0009308,0.0009308,0.0009308
56,104.521,0.99724,0.57414,0.99587,0.8194,0.79059,0.85634,0.52656,1.30925,0.7984,1.26649,0.000911,0.000911,0.000911
57,106.46,0.93512,0.55891,0.97609,0.82636,0.78386,0.85049,0.52601,1.29137,0.78883,1.24029,0.0008912,0.0008912,0.0008912
58,108.381,0.94285,0.54296,0.96522,0.81136,0.79412,0.84617,0.51956,1.30878,0.79688,1.24648,0.0008714,0.0008714,0.0008714
59,110.239,0.94659,0.53692,0.96972,0.80549,0.79059,0.84964,0.52357,1.31869,0.80293,1.25464,0.0008516,0.0008516,0.0008516
60,112.108,0.91519,0.52994,0.98497,0.82902,0.77006,0.84602,0.52168,1.34098,0.83181,1.25983,0.0008318,0.0008318,0.0008318
61,113.973,0.92838,0.53038,0.98032,0.80574,0.80512,0.8527,0.52757,1.3243,0.80897,1.25925,0.000812,0.000812,0.000812
62,115.805,0.94037,0.52707,0.9757,0.85795,0.79059,0.86193,0.5423,1.30881,0.78325,1.26488,0.0007922,0.0007922,0.0007922
